,date,updateDate,code1,code2,code3,value,source,bitCode,siCode
0,2017-01-01,2022-01-19 12:00:00,shC,CA,PROD,160.0,S1,1,
1,2017-01-01,2022-04-30 18:00:00,shC,CA,PROD,200.0,S1,1,
2,2017-01-01,2022-01-19 12:00:00,shC,CA,PROD,160.0,S1,1,
3,2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AH,6200.0,S1,1,A
4,2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AP,3700.0,S1,1,A
5,2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AH,38200.0,S1,1,A
6,2010-01-01,2010-01-01 00:00:00,shAAl,CT,PR,0.595,S1,1,
7,2010-01-01,2010-01-01 00:00:00,shAAr,CT,PR,0.607,S1,1,
8,2010-01-01,2010-01-01 00:00:00,shAGa,CT,PR,0.664,S1,1,
9,2010-01-01,2010-01-01 00:00:00,shALa,CT,PR,0.603,S1,1,
10,2010-01-01,2010-01-01 00:00:00,shAMs,CT,PR,0.624,S1,1,
11,2010-01-01,2010-01-01 00:00:00,shATn,CT,PR,0.637,S1,1,
12,2010-01-01,2010-01-01 00:00:00,shATx,CT,PR,0.591,S1,1,
13,2010-01-01,2010-12-31 00:00:00,shAAl,CT,AP,340000.0,S1,1,A
14,2010-01-01,2010-12-31 00:00:00,shAAl,CT,YLD,682.0,S1,1,BpA
15,2010-01-01,2010-12-31 00:00:00,shAAr,CT,AP,545000.0,S1,1,A
16,2010-01-01,2010-12-31 00:00:00,shAAr,CT,YLD,1045.0,S1,1,BpA
17,2010-01-01,2010-12-31 00:00:00,shAAz,CT,AP,197500.0,S1,1,A
18,2010-01-01,2010-12-31 00:00:00,shAAz,CT,PR,0.855,S1,1,
19,2010-01-01,2010-12-31 00:00:00,shACa,CT,AP,306000.0,S1,1,A
20,2010-01-01,2010-12-31 00:00:00,shACa,CT,PR,1.05,S1,1,
21,2010-01-01,2010-12-31 00:00:00,shAFl,CT,AP,92000.0,S1,1,A
22,2010-01-01,2010-12-31 00:00:00,shAGa,CT,AP,1330000.0,S1,1,A
23,2010-01-01,2010-12-31 00:00:00,shAGa,CT,YLD,821.0,S1,1,BpA
24,2010-01-01,2010-12-31 00:00:00,shAKs,CT,AP,51000.0,S1,1,A
25,2010-01-01,2010-12-31 00:00:00,shAKs,CT,PR,1.04,S1,1,
26,2010-01-01,2010-12-31 00:00:00,shALa,CT,AP,255000.0,S1,1,A
27,2010-01-01,2010-12-31 00:00:00,shALa,CT,YLD,842.0,S1,1,BpA
28,2010-01-01,2010-12-31 00:00:00,shAMo,CT,AP,310000.0,S1,1,A
29,2010-01-01,2010-12-31 00:00:00,shAMo,CT,PR,0.686,S1,1,
30,2010-01-01,2010-12-31 00:00:00,shAMo,CT,YLD,1068.0,S1,1,BpA
31,2010-01-01,2010-12-31 00:00:00,shAMs,CT,AP,420000.0,S1,1,A
32,2010-01-01,2010-12-31 00:00:00,shAMs,CT,YLD,993.0,S1,1,BpA
33,2010-01-01,2010-12-31 00:00:00,shANc,CT,AP,550000.0,S1,1,A
34,2010-01-01,2010-12-31 00:00:00,shANm,CT,AP,50700.0,S1,1,A
35,2010-01-01,2010-12-31 00:00:00,shANm,CT,PR,1.0,S1,1,
36,2010-01-01,2010-12-31 00:00:00,shASc,CT,AP,202000.0,S1,1,A
37,2010-01-01,2010-12-31 00:00:00,shASc,CT,PR,0.78,S1,1,
38,2010-01-01,2010-12-31 00:00:00,shASc,CT,YLD,898.0,S1,1,BpA
39,2010-01-01,2010-12-31 00:00:00,shATn,CT,AP,390000.0,S1,1,A
40,2010-01-01,2010-12-31 00:00:00,shATx,CT,AP,5567000.0,S1,1,A
41,2010-01-01,2010-12-31 00:00:00,shATx,CT,YLD,704.0,S1,1,BpA
42,2010-01-01,2010-12-31 00:00:00,shAVa,CT,AP,83000.0,S1,1,A
43,2010-01-01,2010-12-31 00:00:00,shAVa,CT,YLD,732.0,S1,1,BpA
44,2010-01-01,2010-12-31 00:00:00,shAAr,S/1,YLD/NIRR,20.7,S1,1,
45,2010-01-01,2010-12-31 00:00:00,shAAr,S/1,YLD/NIRR,20.0,S1,1,
46,2010-01-01,2010-12-31 00:00:00,shAAr,S/1,AP,127100.0,S1,1,A
47,2010-01-01,2010-12-31 00:00:00,shAAr,S/1,YLD/NIRR,28.8,S1,1,
48,2010-01-01,2010-12-31 00:00:00,shACa,W/WIN,YLD,81.8,S1,1,BpA
49,2010-01-01,2010-12-31 00:00:00,shANe,W/WIN,YLD,42.9,S1,1,BpA
50,2010-01-01,2010-12-31 00:00:00,shACa,W/WIN,AH,28600.0,S1,1,A
51,2010-01-01,2010-12-31 00:00:00,shACa,W/WIN,AP,34500.0,S1,1,A
52,2010-01-01,2010-12-31 00:00:00,shACa,W/WIN,AH,37800.0,S1,1,A
53,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD,395000.0,S1,1,B
54,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,128000.0,S1,1,
55,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,1300.0,S1,1,
56,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,1300.0,S1,1,
57,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,98.5,S1,1,
58,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,784000.0,S1,1,
59,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,7100.0,S1,1,
60,2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,AP,1800.0,S1,1,A
61,2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,AP,1800.0,S1,1,A
62,2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,YLD,32.1,S1,1,BpA
63,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,7400.0,S1,1,
64,2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,AP,2700.0,S1,1,A
65,2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,YLD,39.4,S1,1,BpA
66,2010-01-01,2010-12-31 00:00:00,shANc,W/WIN,YLD,50.1,S1,1,BpA
67,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,110.4,S1,1,
68,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,548000.0,S1,1,
69,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,5800.0,S1,1,
70,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,5800.0,S1,1,
71,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,94.5,S1,1,
72,2010-01-01,2010-12-31 00:00:00,shAOh,W/WIN,PRD,1631000.0,S1,1,B
73,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD,373000.0,S1,1,B
74,2010-01-01,2010-12-31 00:00:00,shACo,W/WIN,AP,137000.0,S1,1,A
75,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP,66000.0,S1,1,A
76,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,3988000.0,S1,1,
77,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,653000.0,S1,1,
78,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,39500.0,S1,1,
79,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,20700.0,S1,1,
80,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,40000.0,S1,1,
81,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,21800.0,S1,1,
82,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD,77.1,S1,1,BpA
83,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,101.0,S1,1,
84,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,31.5,S1,1,
85,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,113000.0,S1,1,
86,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,62000.0,S1,1,
87,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,1700.0,S1,1,
88,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,2300.0,S1,1,
89,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,1700.0,S1,1,
90,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,2400.0,S1,1,
91,2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,66.5,S1,1,
