;date;updateDate;code1;code2;code3;value;source;bitCode;siCode
0;01.01.2017;19.01.2022 12:00;shC;CA;PROD;160.0;S1;1;
1;01.01.2017;30.04.2022 18:00;shC;CA;PROD;200.0;S1;1;
2;01.01.2017;19.01.2022 12:00;shC;CA;PROD;160.0;S1;1;
3;01.01.2010;31.12.2010 0:00;shAAz;W/ALL/DUR;AH;6200.0;S1;1;A
4;01.01.2010;31.12.2010 0:00;shAAz;W/ALL/DUR;AP;3700.0;S1;1;A
5;01.01.2010;31.12.2010 0:00;shAAz;W/ALL/DUR;AH;38200.0;S1;1;A
6;01.01.2010;01.01.2010 0:00;shAAl;CT;PR;0.595;S1;1;
7;01.01.2010;01.01.2010 0:00;shAAr;CT;PR;0.607;S1;1;
8;01.01.2010;01.01.2010 0:00;shAGa;CT;PR;0.664;S1;1;
9;01.01.2010;01.01.2010 0:00;shALa;CT;PR;0.603;S1;1;
10;01.01.2010;01.01.2010 0:00;shAMs;CT;PR;0.624;S1;1;
11;01.01.2010;01.01.2010 0:00;shATn;CT;PR;0.637;S1;1;
12;01.01.2010;01.01.2010 0:00;shATx;CT;PR;0.591;S1;1;
13;01.01.2010;31.12.2010 0:00;shAAl;CT;AP;340000.0;S1;1;A
14;01.01.2010;31.12.2010 0:00;shAAl;CT;YLD;682.0;S1;1;BpA
15;01.01.2010;31.12.2010 0:00;shAAr;CT;AP;545000.0;S1;1;A
16;01.01.2010;31.12.2010 0:00;shAAr;CT;YLD;1045.0;S1;1;BpA
17;01.01.2010;31.12.2010 0:00;shAAz;CT;AP;197500.0;S1;1;A
18;01.01.2010;31.12.2010 0:00;shAAz;CT;PR;0.855;S1;1;
19;01.01.2010;31.12.2010 0:00;shACa;CT;AP;306000.0;S1;1;A
20;01.01.2010;31.12.2010 0:00;shACa;CT;PR;01.май;S1;1;
21;01.01.2010;31.12.2010 0:00;shAFl;CT;AP;92000.0;S1;1;A
22;01.01.2010;31.12.2010 0:00;shAGa;CT;AP;1330000.0;S1;1;A
23;01.01.2010;31.12.2010 0:00;shAGa;CT;YLD;821.0;S1;1;BpA
24;01.01.2010;31.12.2010 0:00;shAKs;CT;AP;51000.0;S1;1;A
25;01.01.2010;31.12.2010 0:00;shAKs;CT;PR;01.апр;S1;1;
26;01.01.2010;31.12.2010 0:00;shALa;CT;AP;255000.0;S1;1;A
27;01.01.2010;31.12.2010 0:00;shALa;CT;YLD;842.0;S1;1;BpA
28;01.01.2010;31.12.2010 0:00;shAMo;CT;AP;310000.0;S1;1;A
29;01.01.2010;31.12.2010 0:00;shAMo;CT;PR;0.686;S1;1;
30;01.01.2010;31.12.2010 0:00;shAMo;CT;YLD;1068.0;S1;1;BpA
31;01.01.2010;31.12.2010 0:00;shAMs;CT;AP;420000.0;S1;1;A
32;01.01.2010;31.12.2010 0:00;shAMs;CT;YLD;993.0;S1;1;BpA
33;01.01.2010;31.12.2010 0:00;shANc;CT;AP;550000.0;S1;1;A
34;01.01.2010;31.12.2010 0:00;shANm;CT;AP;50700.0;S1;1;A
35;01.01.2010;31.12.2010 0:00;shANm;CT;PR;1.0;S1;1;
36;01.01.2010;31.12.2010 0:00;shASc;CT;AP;202000.0;S1;1;A
37;01.01.2010;31.12.2010 0:00;shASc;CT;PR;0.78;S1;1;
38;01.01.2010;31.12.2010 0:00;shASc;CT;YLD;898.0;S1;1;BpA
39;01.01.2010;31.12.2010 0:00;shATn;CT;AP;390000.0;S1;1;A
40;01.01.2010;31.12.2010 0:00;shATx;CT;AP;5567000.0;S1;1;A
41;01.01.2010;31.12.2010 0:00;shATx;CT;YLD;704.0;S1;1;BpA
42;01.01.2010;31.12.2010 0:00;shAVa;CT;AP;83000.0;S1;1;A
43;01.01.2010;31.12.2010 0:00;shAVa;CT;YLD;732.0;S1;1;BpA
44;01.01.2010;31.12.2010 0:00;shAAr;S/1;YLD/NIRR;20.июл;S1;1;
