title;price_str;price;url
Видеокарта - Colorful GTX 1050 Ti, 4 Гб, 128 бит, GDDR5;9 000 грн.;9000;https://www.olx.ua/d/obyavlenie/videokarta-colorful-gtx-1050-ti-4-gb-128-bit-gddr5-IDPH1TF.html?sd=1#36c5ffb542
Afox Radeon RX550 4GB;3 000 грн.;3000;https://www.olx.ua/d/obyavlenie/afox-radeon-rx550-4gb-IDPVrOA.html?sd=1#36c5ffb542
55+MH! MSI 5700 XT. Остаточна гарантія - 12 місяців;8 000 грн.;8000;https://www.olx.ua/d/obyavlenie/55-mh-msi-5700-xt-ostatochna-garantya-12-msyatsv-IDPWE0M.html?sd=1#36c5ffb542
видеокарты PALIT PCI-Ex GeForce GTX 1070 8GB GDDR5 Dual (256bit) Б/У;6 500 грн.;6500;https://www.olx.ua/d/obyavlenie/videokarty-palit-pci-ex-geforce-gtx-1070-8gb-gddr5-dual-256bit-b-u-IDPTPsu.html?sd=1#36c5ffb542
ТОП! Nvidia GTX 1660 super 6gb Palit StormX ТехноБро;7 300 грн.;7300;https://www.olx.ua/d/obyavlenie/top-nvidia-gtx-1660-super-6gb-palit-stormx-tehnobro-IDPQHwI.html?sd=1#36c5ffb542
XFX Radeon RX580 4GB;3 450 грн.Договорная;3450;https://www.olx.ua/d/obyavlenie/xfx-radeon-rx580-4gb-IDPQS1U.html?sd=1#36c5ffb542
Zotac gtx 650 2 gb;1 650 грн.;1650;https://www.olx.ua/d/obyavlenie/zotac-gtx-650-2-gb-IDPZBDC.html?sd=1#36c5ffb542
Rtx 3080 ti msi suprim;49 000 грн.Договорная;49000;https://www.olx.ua/d/obyavlenie/rtx-3080-ti-msi-suprim-IDPVjqs.html#36c5ffb542
"Відеокарта ""Gigabyte RTX 3070 Gaming 8Gb";17 900 грн.;17900;https://www.olx.ua/d/obyavlenie/vdeokarta-gigabyte-rtx-3070-gaming-8gb-IDPSyst.html?sd=1#36c5ffb542
Видеокарта ASUS Radeon RX 6800 XT 16GB GDDR6 TUF OC Gaming;25 999 грн.;25999;https://www.olx.ua/d/obyavlenie/videokarta-asus-radeon-rx-6800-xt-16gb-gddr6-tuf-oc-gaming-IDPJZYH.html?sd=1#36c5ffb542
