sport;title;time;link
Футбол;У стилі Іващенка. Легенда Ман Сіті проти жінок у футбольній аналітиці;15:25;https://sport.ua/uk/news/656049-u-stili-ivashchenka-legenda-man-siti-proti-zhinok-u-futbolniy-analititsi
Футбол;Динамо Київ – Металіст 1925 – 0:0. Текстова трансляція. LIVE;15:17;https://sport.ua/uk/news/655946-dinamo-kiiv-metalist-1925-tekstova-translyatsiya-matchu
Футбол;Динамо – Металіст 1925. Дивитися онлайн. LIVE трансляція;15:15;https://sport.ua/uk/news/655836-dinamo-metalist-1925-divitisya-onlayn-live-translyatsiya
Футбол;Матч Динамо - Металіст 1925 почнеться на 15 хвилин пізніше;14:56;https://sport.ua/uk/news/656051-match-dinamo-metalist-1925-roku-pochnetsya-na-15-hvilin-piznishe
Футбол;Гвардіола вважає, що Астон Вілла – претендент на титул. Емері не згоден;14:52;https://sport.ua/uk/news/656044-gvardiola-vvazhaie-shcho-aston-villa-pretendent-na-titul-emeri-ne-zgoden
Футбол;Кубок регіонів УЄФА. Визначено суперників України у проміжному раунді;14:52;https://sport.ua/uk/news/656037-kubok-regioniv-uyefa-viznacheno-supernikiv-ukraini-u-promizhnomu-raundi
Футбол;Дмитро НЕМЧАНІНОВ: «Я не погодився на значне зменшення зарплати»;14:50;https://sport.ua/uk/news/656040-dmitro-nemchaninov-ya-ne-pogodivsya-na-znachne-zmenshennya-zarplati
Футбол;Термін можливої дискваліфікації Поля Погба можуть збільшити вдвічі;14:45;https://sport.ua/uk/news/656041-termin-mozhlivoi-diskvalifikatsii-polya-pogba-mozhut-zbilshiti-vdvichi
Футбол;Декрет про зростання. Вплив податкової системи Італії на трансферний ринок;14:44;https://sport.ua/uk/news/656039-dekret-zrostannya-yak-podatkova-sistema-italii-vplivaie-na-transferniy-rinok
Футбол;ВІДЕО. Борнмут у захваті від супер-сейву Іллі Забарного;14:31;https://sport.ua/uk/news/656032-video-bornmut-u-zahvati-vid-super-seyvu-illi-zabarnogo
Футбол;Мінус ще один гравець. Склад Минаю залишив форвард;14:29;https://sport.ua/uk/news/656036-minus-shche-odin-gravets-sklad-minayu-zalishiv-forvard
Футбол;ФОТО. Лучано Спаллетті став почесним громадянином Неаполя;14:26;https://sport.ua/uk/news/656038-foto-luchano-spalletti-stav-pochesnim-gromadyaninom-neapolya
Футбол;Манчестер Юнайтед та дортмундська Боруссія готують обмін футболістами;14:05;https://sport.ua/uk/news/656034-manchester-yunayted-ta-dortmundska-borussiya-gotuyut-obmin-futbolistami
Футбол;«Він ще дуже сирий». Вболівальники Челсі – про гру Мудрика у матчі з МЮ;14:02;https://sport.ua/uk/news/655995-vin-shche-duzhe-siriy-vbolivalnikichelsi-pro-gru-mudrika-u-matchi-z-myu
Футбол;Джерело: Полісся цікавиться лідером атак Зорі;14:01;https://sport.ua/uk/news/656031-dzherelo-polissya-tsikavitsya-liderom-atak-zori
Футбол;Евертон – Ньюкасл. Прогноз і анонс на матч чемпіонату Англії;13:57;https://sport.ua/uk/news/655951-everton-nyukasl-prognoz-i-anons-na-match-chempionatu-anglii
Футбол;Динамо Київ – Металіст 1925. Стали відомі стартові склади;13:50;https://sport.ua/uk/news/656030-dinamo-kiiv-metalist-1925-stali-vidomi-startovi-skladi
Футбол;Динамо Київ – Металіст 1925. Прогноз і анонс на матч чемпіонату України;13:25;https://sport.ua/uk/news/655914-dinamo-kiiv-metalist-1925-prognoz-i-anons-na-match-chempionatu-ukraini
Футбол;Володимир ШАРАН: «В ЛНЗ зарплати в 4 рази більше, ніж в Минаї»;13:19;https://sport.ua/uk/news/656027-volodimir-sharan-v-lnz-zarplati-v-4-razi-bilshe-nizh-v-minai
Футбол;Визначено суперників збірної України U-17 в еліт-раунді відбору Євро-2024;13:02;https://sport.ua/uk/news/656025-viznacheno-supernikiv-zbirnoi-ukraini-u-17-v-elit-raundi-vidboru-yevro-2024
Футбол;Лівий берег офіційно спростував чутки про переговори з Шараном;12:59;https://sport.ua/uk/news/656024-liviy-bereg-ofitsiyno-sprostuvav-chutki-pro-peregovori-z-sharanom
Футбол;Футболка Інтер Маямі з прізвищем Мессі – у топ-15 модних трендів 2023 року;12:51;https://sport.ua/uk/news/656022-futbolka-inter-mayami-z-prizvishchem-messi-u-top-15-modnih-trendiv-2023-roku
Футбол;Реал Мадрид визначився з дедлайном по трансферу Кіліана Мбаппе;12:47;https://sport.ua/uk/news/656021-real-madrid-viznachivsya-z-dedlaynom-po-transferu-kiliana-mbappe
Футбол;Минай перед відпусткою залишився без дев'ятьох гравців;12:31;https://sport.ua/uk/news/656020-minay-pered-vidpustkoyu-zalishivsya-bez-devyatyoh-gravtsiv
Футбол;Тоттенхем – Вест Хем. Прогноз і анонс на матч чемпіонату Англії;12:22;https://sport.ua/uk/news/655953-tottenhem-vest-hem-prognoz-i-anons-na-match-chempionatu-anglii
Футбол;Максим ВОРОНОВ: «Фернандіньо та Марлос запитують про війну в Україні»;12:19;https://sport.ua/uk/news/656018-maksim-voronov-fernandinyo-ta-marlos-zapituyut-pro-viynu-v-ukraini
Футбол;Збірна України U-19 дізналася суперників в еліт-раунді відбору Євро-2024;12:15;https://sport.ua/uk/news/656019-zbirna-ukraini-u-19-diznalasya-supernikiv-v-elit-raundi-vidboru-yevro-2024
